NEIGHBORHOOD,SUMMARY
Carrick,Obscene lang/gest disorderly conduct
Central Business District,Obscene lang/gest disorderly conduct
Central Business District,Obscene lang/gest disorderly conduct
Hazelwood,Public marijuana smoking
Central Business District,Alcohol on streets/sidewalks
Mount Washington,Disorderly Conduct (Unreasonable Noise)
South Shore,Underage liquor offense
Hazelwood,Alcohol on streets/sidewalks
Chateau,Underage liquor
Brookline,Marijuana possession
Bluff,Alcohol consumption in public
Homewood West,Marijuana possession
Chateau,Peddler/vender use of public areas
Central Business District,Alcohol on streets/sidewalks
Middle Hill,Public drunkenness
Central Business District,Alcohol on streets/sidewalks
Marshall-Shadeland,Fighting in disorderly conduct
South Side Flats,Public drunkenness
Knoxville,Marijuana possession
Central Business District,Public drunkenness
Central Business District,Disorderly Conduct (Unreasonable Noise)
North Shore,Ticket resale restriction
Hazelwood,Public marijuana smoking
Central Business District,Littering/Dumping
Allentown,Indecent public urination/defecation
Central Business District,Panhandling near paystation/ATM
Central Business District,Fighting (Disorderly Conduct)
Marshall-Shadeland,Fighting (Disorderly Conduct)
South Side Flats,Interference with duties
Central Business District,Obscene Lang/Gest Disorderly Conduct
South Side Flats,Disorderly Conduct (Unreasonable Noise)
Chateau,Peddler/vender use of public areas
Chateau,Peddler/vender use of public areas
Mount Washington,Alcohol on streets/sidewalks
Brookline,Dog license requirement
Central Business District,Public drunkenness
South Side Flats,Indecent public urination/defecation
East Liberty,Harassment
Brookline,Rabies vaccination
Bedford Dwellings,Criminal Mischief (Prop Damage by Fire/Explosives/Dangerous Means)
South Side Flats,Marijuana possession
Squirrel Hill North,Disorderly conduct - unreasonable noise
Overbrook,Rabies vaccination
Chateau,Public drunkenness
Allentown,Harassment
East Liberty,Harassment
South Side Flats,Alcohol on streets/sidewalks
East Liberty,Harassment
Highland Park,Marijuana possession
South Side Slopes,Disorderly Conduct - Unreasonable Noise
Overbrook,Dog license requirement
Squirrel Hill North,Disorderly conduct - Unreasonable noise
Squirrel Hill North,Disorderly Conduct - Unreasonable Noise
Central North Side,Marijuana possession
North Shore,Public drunkenness
South Side Flats,Underage liquor
Central North Side,Marijuana possession
Larimer,Marijuana possession
South Side Flats,Public drunkenness
Chateau,Peddler/vender use of public areas
Central Oakland,Underage liquor
East Allegheny,Marijuana possession
North Oakland,Public drunkenness
Central Business District,Public urination/defecation
Brookline,Rabies vaccination
Brookline,Harassment
Brookline,Public drunkenness
Marshall-Shadeland,Marijuana possession
Central Business District,Public drunkenness
Hazelwood,Alcohol consumption in public
East Allegheny,Disorderly Conduct
Central Business District,Public drunkenness
South Side Flats,Open Container
Marshall-Shadeland,Public drunkenness
Homewood North,Marijuana possession
Chateau,Obscene lang/gest disorderly conduct
South Side Flats,Disorderly conduct (unreasonable noise)
Central Business District,Alcohol consumption in public
Central Business District,Public drunkenness
East Liberty,Harassment by contact
Spring Hill-City View,Alcohol consumption in public
Brookline,Dog license requirement
Central Business District,Aggressive Panhandling
Central Business District,Alcohol on streets/sidewalks
Brookline,Dog tethering
Marshall-Shadeland,Obscene lang/gest disorderly conduct
Brookline,Harassment
South Side Flats,Alcohol consumption in public
Brookline,Disorderly Conduct
East Hills,Veterinarian prescription etc.
East Allegheny,Harassment
South Side Flats,Public drunkenness
Central Business District,Public drunkenness
Central Business District,Alcohol on streets/sidewalks
South Side Flats,Public drunkenness
South Side Flats,Alcohol on streets/sidewalks
Allegheny Center,Public drunkenness
Squirrel Hill North,Disorderly Conduct
South Side Flats,Public drunkenness
Central Business District,Public drunkenness
South Side Flats,Public drunkenness
Carrick,Disorderly Conduct
South Side Flats,Public drunkenness
Central Business District,Disorderly Conduct
South Side Slopes,Littering
Marshall-Shadeland,Criminal Mischief
South Side Flats,Underage liquor
South Side Flats,Public drunkenness
West Oakland,Public drunkenness
East Liberty,Marijuana possession
Elliott,Cruelty to animals
Squirrel Hill South,Public drunkenness
Elliott,Cruelty to animals
Central Oakland,Unreasonable Noise Disorderly Conduct
Hazelwood,Harassment
Elliott,Cruelty to Animals
Central Business District,Public drunkenness
South Side Flats,Underage liquor
Elliott,Cruelty to animals
South Side Flats,Open Container
Middle Hill,Public drunkenness
Hazelwood,Fighting (Disorderly Conduct)
Beechview,Criminal Trespass
South Side Slopes,Marijuana possession
Squirrel Hill North,Disorderly Conduct - Unreasonable Noise
Homewood South,Marijuana possession
Hays,Public drunkenness
Squirrel Hill South,Marijuana possession
Shadyside,Disorderly conduct
South Side Flats,Public drunkenness
North Shore,Unreasonable Noise Disorderly Conduct
Garfield,Criminal Trespass
Marshall-Shadeland,Harassment
Brookline,Harassment
South Side Flats,Public drunkenness
Homewood South,Harassment
Shadyside,Public drunkenness
South Side Flats,Public drunkenness
Crawford-Roberts,Underage liquor offense
Shadyside,Public drunkenness
Elliott,Arson
South Side Flats,Public drunkenness
North Shore,Disorderly Conduct - Unreasonable Noise
North Shore,Obscene Lang/Gest Disorderly Conduct
East Allegheny,Obstructing passage
Central Business District,Public drunkenness
Arlington,Harassment
Lincoln-Lemington-Belmar,Criminal Trespass
South Side Flats,Public drunkenness
Squirrel Hill North,False ID for liquor
Larimer,Marijuana possession
Allegheny Center,Alcohol consumption in public
South Side Flats,Public drunkenness
Lincoln-Lemington-Belmar,Marijuana possession
Central Oakland,Trespassing with improper bodily waste discharge
Crawford-Roberts,Underage liquor
Upper Hill,Harassment by physical contact
Central Business District,Fighting disorderly conduct
Mount Washington,Criminal Mischief
Brookline,Public drunkenness
Larimer,Public drunkenness
South Side Flats,Underage liquor
South Oakland,Fighting in disorderly conduct
Mount Washington,Criminal Mischief
East Allegheny,Aggressive Panhandling
Troy Hill,Obstructing passage
Elliott,Cruelty to animals
Elliott,Cruelty to Animals
Central Business District,Public drunkenness
Central Business District,Bad Checks
East Allegheny,Public drunkenness
Shadyside,Open Lewdness
East Liberty,Marijuana possession
Larimer,Marijuana possession
Strip District,Obstructing passage
South Side Flats,Harassment
Central Business District,Public urination/defecation
Elliott,Cruelty to Animals
Central Business District,Disorderly conduct (unreasonable noise)
Larimer,Marijuana possession
South Side Flats,Harassment
Brookline,Cruelty to Animals
South Side Flats,Fighting in disorderly conduct
Central Business District,Criminal Trespass
Central Business District,Fighting (Disorderly Conduct)
Squirrel Hill North,Underage liquor
South Side Flats,Public drunkenness
South Side Flats,Interference with official duties
Larimer,Marijuana possession
Central Business District,Public drunkenness
South Side Flats,Public drunkenness
North Shore,Obscene lang/gest disorderly conduct
Central Business District,Open Container
Central Oakland,False ID for liquor
Squirrel Hill South,Marijuana possession
South Side Flats,Criminal Mischief
Central Oakland,Open container
Central Business District,Bad Checks
East Allegheny,Obstructing passage
Lincoln Place,Harassment
Central Business District,Bad Checks
Central Business District,Bad Checks
Mount Washington,Marijuana possession
Elliott,Cruelty to Animals
Squirrel Hill South,Public urination/defecation
Central Business District,Bad Checks
Carrick,Harassment
South Side Flats,Public drunkenness
Hazelwood,Harassment
Hazelwood,Harassment
Central Oakland,False ID for liquor
Brookline,Disorderly conduct - Unreasonable noise
Larimer,Unreasonable noise disorderly conduct
Garfield,Criminal Trespass
Lincoln Place,Disorderly conduct (unreasonable noise)
Central Oakland,Unreasonable Noise Disorderly Conduct
Strip District,Obstructing passage
South Side Flats,Public drunkenness
Homewood South,Marijuana possession
South Side Flats,Theft of Services
Allegheny Center,Public drunkenness
Central North Side,Public drunkenness
South Side Flats,Obscene Lang/Gest Disorderly Conduct
South Side Flats,Public drunkenness
South Side Flats,Alcohol consumption in public
,Discharging firearm/airgun
Perry North,Harassment
South Side Slopes,Disorderly Conduct - Unreasonable Noise
Central Business District,Public drunkenness
South Side Flats,Public drunkenness
Central Business District,Public drunkenness
Central North Side,Public drunkenness
Central Business District,Public drunkenness
Carrick,Spitting
Carrick,Public drunkenness
Carrick,Public urination/defecation
South Side Flats,Marijuana possession
Central Business District,Actual Communication
Larimer,Marijuana possession
Central Oakland,Unreasonable Noise Disorderly Conduct
Central Business District,Public drunkenness
Central Business District,Alcohol on streets/sidewalks
Central Business District,Public drunkenness
Lincoln-Lemington-Belmar,Public drunkenness
South Side Flats,Public drunkenness
Knoxville,Alcohol consumption in public
Brookline,Criminal Mischief
Garfield,Harassment
Knoxville,Disorderly conduct
Central Business District,Disorderly Conduct
Squirrel Hill South,Public drunkenness
East Allegheny,Public drunkenness
Shadyside,Disorderly conduct - Unreasonable noise
Carrick,Criminal Mischief
South Side Flats,Public drunkenness
Central Oakland,Loud noises etc.
South Side Flats,Indecent public urination/defecation
West Oakland,Underage liquor
Central Business District,Public drunkenness
Central Lawrenceville,Harassment
Central Business District,Fighting in disorderly conduct
Lincoln-Lemington-Belmar,Disorderly Conduct
Carrick,Unreasonable noise disorderly conduct
South Side Flats,Marijuana possession
Central Lawrenceville,Criminal Mischief
South Side Slopes,Unreasonable noise disorderly conduct
East Allegheny,Public urination/defecation
South Side Flats,Public urination/defecation
South Side Flats,Disorderly conduct - Unreasonable noise
Brookline,Disorderly Conduct
,Public drunkenness
Lincoln-Lemington-Belmar,Disorderly Conduct
Brookline,Actual Communication
South Side Flats,Indecent public act
South Side Flats,Alcohol consumption in public
Beltzhoover,Marijuana possession
Shadyside,Disorderly Conduct
Garfield,Harassment
South Side Flats,Littering
Central Business District,Panhandling
Central North Side,Marijuana possession
East Allegheny,Alcohol on streets/sidewalks
Central Business District,Public drunkenness
Shadyside,Unreasonable noise disorderly conduct
South Side Flats,Public drunkenness
Central Business District,Alcohol consumption in public
South Side Flats,Public drunkenness
North Shore,Fighting disorderly conduct
North Shore,Public drunkenness
West Oakland,Disorderly conduct - unreasonable noise
South Side Flats,Public urination/defecation
Central Business District,Public drunkenness
Central Oakland,Selling non-alcoholic beverage to minors
South Shore,Public urination/defecation
Sheraden,Dog license requirement
Shadyside,Public drunkenness
Knoxville,Littering
Hazelwood,Alcohol on streets/sidewalks
Larimer,Marijuana possession
Beltzhoover,Public drunkenness
South Side Flats,Fighting disorderly conduct
South Side Flats,Public drunkenness
South Side Flats,Disorderly Conduct
Marshall-Shadeland,Harassment
South Side Flats,Public urination/defecation
Friendship,Defiant Trespass
Central Business District,Indecent public urination/defecation
South Side Flats,Public urination/defecation
North Oakland,Disorderly conduct (unreasonable noise)
South Side Flats,Harassment
Central Business District,Public drunkenness
South Side Flats,Public drunkenness
Central North Side,Marijuana possession
South Side Flats,Disorderly Conduct
South Side Flats,Marijuana possession
Central Business District,Alcohol on streets/sidewalks
South Side Flats,Underage liquor offense
South Side Flats,Disorderly Conduct
South Side Flats,Public drunkenness
South Side Flats,Harassment
Friendship,Public drunkenness
Manchester,Criminal Mischief
South Side Flats,Public urination/defecation
Bon Air,Cruelty to animals
South Side Flats,Theft of Services
South Side Flats,Interference with duties
Marshall-Shadeland,Harassment
South Side Slopes,Dogs at large prohibited
Upper Hill,Public drunkenness
South Side Flats,Fighting (Disorderly Conduct)
South Side Flats,Interference with duties
North Shore,Criminal Mischief (Prop Damage by Dangerous Means)
North Shore,Fighting in disorderly conduct
East Liberty,Marijuana possession
,Unreasonable Noise Disorderly Conduct
Hazelwood,Alcohol on streets/sidewalks
South Side Flats,Fighting in disorderly conduct
Squirrel Hill South,Panhandling hindrance
South Side Flats,Public drunkenness
Bloomfield,Disorderly conduct
Central Business District,Vendor/peddler license
South Side Flats,Underage liquor
Marshall-Shadeland,Harassment
Greenfield,Disorderly Conduct - Unreasonable Noise
South Side Flats,Public drunkenness
Lincoln-Lemington-Belmar,Cruelty to animals
North Shore,Public drunkenness
Hazelwood,Alcohol on streets/sidewalks
Squirrel Hill South,Public drunkenness
Shadyside,Disorderly conduct (unreasonable noise)
South Side Flats,Public drunkenness
Central Business District,Public urination/defecation
Beltzhoover,Marijuana possession
Beltzhoover,Harassment
South Side Flats,Public drunkenness
Knoxville,Cruelty to Animals
Shadyside,Marijuana possession
North Shore,Underage liquor offense
Garfield,Criminal Mischief
Allentown,Harassment
Squirrel Hill South,Public marijuana smoking
Central Business District,Public drunkenness
Carrick,Marijuana possession
North Oakland,Public drunkenness
East Liberty,Alcohol consumption in public
East Allegheny,Public drunkenness
South Side Flats,Public urination/defecation
South Side Flats,Obstructing passage
North Shore,Criminal Trespass
Squirrel Hill South,Public drunkenness
South Side Flats,Public drunkenness
Shadyside,Public marijuana smoking
Squirrel Hill South,Public marijuana smoking
South Side Flats,Public urination/defecation
East Hills,Harassment
South Oakland,Underage liquor
South Side Flats,Public drunkenness
South Side Flats,Disorderly Conduct
North Shore,Public drunkenness
Central Oakland,False ID for liquor
Bloomfield,Obstructing passage
Greenfield,Disorderly Conduct
South Side Flats,Public drunkenness
Central Oakland,Public drunkenness
South Side Flats,Public drunkenness
South Oakland,Underage liquor offense
South Oakland,Disorderly Conduct
South Shore,Harassment
Shadyside,Public drunkenness
South Side Flats,Public drunkenness
Carrick,Obscene lang/gest disorderly conduct
Lincoln-Lemington-Belmar,Rabies vaccination
South Oakland,Underage liquor
Beltzhoover,Harassment
South Side Flats,Public drunkenness
,Unlicensed ticket resale
Squirrel Hill South,Public marijuana smoking
Allegheny Center,Criminal Trespass
Lincoln-Lemington-Belmar,Dog license requirement
Carrick,Marijuana possession
South Shore,Harassment
South Side Flats,Public drunkenness
East Hills,Marijuana possession
Central Business District,Public drunkenness
South Side Flats,Fighting in disorderly conduct
Sheraden,Harassment
Shadyside,Indecent public act
Carrick,Public drunkenness
South Shore,Harassment
Brookline,Marijuana possession
South Side Flats,Public drunkenness
North Shore,Criminal Mischief
Squirrel Hill South,Public drunkenness
South Side Flats,Disorderly Conduct
South Side Flats,Criminal Trespass
East Allegheny,Disorderly Conduct
Carrick,Underage liquor
Shadyside,Public drunkenness
East Allegheny,Alcohol consumption in public
North Shore,Public drunkenness
North Shore,Public drunkenness
Knoxville,Carrying firearm facsimiles prohibited
Mount Washington,Air rifle use in public
South Side Flats,Public drunkenness
East Hills,Fighting in disorderly conduct
Shadyside,Harassment
North Shore,Fighting disorderly conduct
Fineview,Indecent public act
Homewood North,Marijuana possession
South Side Flats,Fighting (disorderly conduct)
South Side Flats,False ID for liquor
Homewood South,Marijuana possession
Banksville,Harassment
East Hills,Fighting in disorderly conduct
Bloomfield,Harassment
Central Business District,Retail Theft
Squirrel Hill South,Public drunkenness
Squirrel Hill South,Marijuana possession
Mount Washington,Air rifle use in public
South Side Flats,Public urination/defecation
South Side Flats,Public drunkenness
Brookline,Harassment
North Shore,Retail Theft
South Side Flats,Public urination/defecation
Homewood South,Marijuana possession
Shadyside,Criminal Mischief
Homewood North,Marijuana possession
South Side Flats,Public drunkenness
South Side Flats,Underage liquor
Middle Hill,Public drunkenness
East Hills,Criminal Mischief
South Side Flats,Public drunkenness
South Side Flats,Indecent public excretion
South Side Flats,Indecent public excretion
Central Oakland,Public drunkenness
Central Oakland,Underage liquor
Central Business District,Criminal Mischief
South Side Flats,Indecent public act
Squirrel Hill South,Underage liquor
Sheraden,Harassment
Squirrel Hill South,Public marijuana smoking
Brighton Heights,Public drunkenness
South Shore,Harassment
Beechview,Cruelty to animals
Homewood South,Marijuana possession
Middle Hill,Excessive noise between apartments
Upper Lawrenceville,Criminal Mischief
Upper Lawrenceville,Fighting (disorderly conduct)
South Side Flats,Harassment
South Oakland,Public drunkenness
Central Oakland,Disorderly conduct - unreasonable noise
Shadyside,Disorderly Conduct
South Side Flats,Obstruction
Hazelwood,Marijuana possession
Central Business District,Public drunkenness
Shadyside,Fighting (Disorderly Conduct)
Crafton Heights,Harassment
Shadyside,Public urination/defecation
North Shore,Public drunkenness
Bloomfield,Harassment
South Side Flats,Public drunkenness
South Side Flats,Disorderly conduct
South Side Flats,Public drunkenness
North Shore,Public drunkenness
South Side Flats,False ID for liquor
Central Business District,Alcohol on streets/sidewalks
California-Kirkbride,Criminal Mischief
Central Oakland,Trespass with actual communication
Upper Lawrenceville,Public drunkenness
Stanton Heights,Criminal Mischief (Prop Damage by Dangerous Means)
South Side Flats,Public drunkenness
Central Business District,Public drunkenness
Homewood North,Marijuana possession
Bloomfield,Harassment
Central Business District,Public urination/defecation
Bloomfield,Public drunkenness
South Side Flats,Public drunkenness
Middle Hill,Marijuana possession
Middle Hill,Marijuana possession
North Shore,Harassment
South Side Flats,Indecent public act
Middle Hill,Alcohol on streets/sidewalks
East Allegheny,Alcohol on streets/sidewalks
Shadyside,Fighting in disorderly conduct
South Side Flats,Criminal Mischief
North Shore,Criminal Mischief
South Side Flats,Alcohol on streets/sidewalks
Greenfield,Public drunkenness
Central Oakland,Littering
East Allegheny,Public drunkenness
North Shore,Public urination/defecation
Central Business District,Public drunkenness
Lincoln-Lemington-Belmar,Harassment by contact
Lincoln Place,Amplified vehicle noise
Allegheny Center,Marijuana possession
Mount Washington,Unreasonable noise disorderly conduct
Hazelwood,Disorderly conduct
South Side Slopes,Underage liquor offense
South Side Flats,Obscene lang/gest disorderly conduct
Central Lawrenceville,Marijuana possession
Strip District,Disorderly conduct (noise)
North Oakland,Fighting (disorderly conduct)
Central Oakland,Public drunkenness
Shadyside,Public drunkenness
South Side Slopes,Marijuana possession
North Shore,Disorderly Conduct
Homewood North,Marijuana possession
North Shore,Disorderly Conduct
South Side Flats,Obstructing passage
Sheraden,Harassment
Central Business District,Fighting (disorderly conduct)
South Side Flats,Disorderly Conduct
South Side Slopes,Unreasonable Noise Disorderly Conduct
North Shore,Obstructing passage
East Allegheny,Obstructing passages
East Liberty,Alcohol on streets/sidewalks
South Side Flats,Obscene Lang/Gest Disorderly Conduct
East Allegheny,Obstructing passage
Central Oakland,Disorderly Conduct
North Shore,Public drunkenness
Central Business District,Disorderly Conduct
Central Lawrenceville,Unreasonable Noise Disorderly Conduct
North Oakland,Fighting in disorderly conduct
Squirrel Hill North,Disorderly Conduct (Unreasonable Noise)
Middle Hill,Marijuana possession
Elliott,Harassment
North Shore,Public drunkenness
South Shore,Harassment
Mount Washington,Public drunkenness
Beechview,Public drunkenness
Central Oakland,Public drunkenness
North Shore,Fighting (disorderly conduct)
Mount Washington,Marijuana possession
South Side Flats,Disorderly Conduct
East Liberty,Marijuana possession
South Side Flats,Obstructing passage
South Side Flats,Public drunkenness
Central Business District,Alcohol on streets/sidewalks
Mount Washington,Marijuana possession
North Shore,Disorderly Conduct
Shadyside,Public drunkenness
South Side Flats,Public drunkenness
Squirrel Hill South,"Trespassing, threatening"
Larimer,Marijuana possession
Central Oakland,Spitting
South Side Flats,Disorderly Conduct
North Shore,Public drunkenness
South Side Slopes,Underage liquor offense
North Shore,Public drunkenness
South Side Flats,Public drunkenness
South Side Flats,Public drunkenness
Mount Washington,Criminal Mischief
Squirrel Hill South,Public drunkenness
South Side Flats,Public drunkenness
Knoxville,Marijuana possession
North Shore,Public drunkenness
Garfield,Marijuana possession
South Side Flats,Public drunkenness
South Side Flats,Public urination/defecation
North Shore,Public drunkenness
North Shore,Public drunkenness
North Shore,Public drunkenness
North Shore,Public drunkenness
South Side Slopes,Marijuana possession
South Side Flats,Public drunkenness
Shadyside,Public drunkenness
South Side Slopes,Unreasonable Noise Disorderly Conduct
East Allegheny,Public drunkenness
South Shore,Public drunkenness
Highland Park,Marijuana possession
Crawford-Roberts,Harassment
Central Oakland,Harassment
Mount Washington,Harassment by contact
East Liberty,Marijuana possession
Central Business District,Alcohol consumption in public
Central Lawrenceville,Public drunkenness
Garfield,Criminal Mischief
South Side Flats,Public drunkenness
Squirrel Hill South,Public drunkenness
Central Business District,Panhandling
South Side Flats,Indecent public act
South Side Flats,Public drunkenness
North Shore,Public drunkenness
East Allegheny,Alcohol on streets/sidewalks
Carrick,Scattering rubbish
Central Business District,Public drunkenness
South Side Flats,Public drunkenness
Shadyside,Disorderly conduct
Chateau,Public drunkenness
South Side Flats,Criminal Mischief
South Side Flats,Indecent public act
Allegheny Center,Alcohol consumption in public
Central Business District,Obstructing passage
North Shore,Disorderly Conduct
South Side Flats,Public drunkenness
South Side Flats,Indecent public act
Squirrel Hill North,Underage liquor
Shadyside,Public drunkenness
Larimer,Marijuana possession
South Side Flats,Public urination/defecation
East Allegheny,Obstructing passage
East Allegheny,Alcohol consumption in public
South Side Flats,Public urination/defecation
South Side Flats,Public drunkenness
North Shore,Disorderly Conduct
Bloomfield,Criminal Mischief
North Shore,Public drunkenness
East Allegheny,Public drunkenness
South Side Flats,Indecent public act
Central Lawrenceville,Fighting disorderly conduct
South Side Flats,Public drunkenness
North Shore,Disorderly Conduct
South Oakland,Underage liquor offense
South Side Flats,Disorderly Conduct
North Shore,Harassment
South Side Slopes,Fire prohibited
East Allegheny,Indecent public act
Homewood South,Marijuana possession
North Shore,Actual Communication
Beechview,Disorderly Conduct
Hazelwood,Marijuana possession
South Side Flats,Disorderly Conduct
South Side Flats,Criminal Mischief - Prop Damage by Dangerous Means
North Shore,Underage liquor offense
North Shore,Disorderly Conduct
Central Business District,Trespass
South Side Flats,Fighting (Disorderly Conduct)
Central Business District,Repeated false alarms
North Shore,Disorderly Conduct
Lincoln-Lemington-Belmar,Marijuana possession
Bloomfield,Unreasonable noise disorderly conduct
Central Business District,Alcohol consumption in public
Central Oakland,Criminal Mischief
South Side Flats,Fighting (Disorderly Conduct)
South Side Flats,Public urination/defecation
East Allegheny,Alcohol consumption in public
South Side Flats,Disorderly Conduct
Central Oakland,Disorderly Conduct
North Oakland,Fighting in disorderly conduct
North Shore,Defiant Trespass
Hazelwood,Harassment
South Side Flats,Fighting (Disorderly Conduct)
Hazelwood,Marijuana possession
Beltzhoover,Cruelty to animals
North Shore,Defiant Trespass
Central Oakland,False ID for liquor
Beechview,Unreasonable noise disorderly conduct
Lincoln-Lemington-Belmar,Retail Theft
Allegheny Center,Public marijuana smoking
South Side Flats,Public drunkenness
West Oakland,Interference with duties
North Shore,Public urination/defecation
East Liberty,Littering
North Shore,Fighting in disorderly conduct
North Shore,Disorderly Conduct
Shadyside,Public drunkenness
Central Oakland,Disorderly Conduct - Unreasonable Noise
South Side Flats,Marijuana possession
Knoxville,Carrying firearm facsimiles prohibited
South Side Flats,Public drunkenness
North Shore,Disorderly Conduct
South Shore,Disorderly Conduct (Unreasonable Noise)
South Side Flats,Fighting in disorderly conduct
Shadyside,Fighting (Disorderly Conduct)
South Side Flats,Carrying firearm facsimiles prohibited
North Shore,Obscene Lang/Gesture Disorderly Conduct
South Side Flats,Dangerous Burning
South Side Flats,Indecent public act
South Side Flats,Public drunkenness
South Side Flats,Obstructing passage
Shadyside,Public drunkenness
South Side Flats,Criminal Mischief - Prop Damage (Dangerous Means)
Middle Hill,Criminal Mischief - Prop Damage (Dangerous Means)
Middle Hill,Discharging firearm/airgun
Middle Hill,Discharging firearm/airgun
South Side Slopes,Public drunkenness
South Side Flats,Harassment by physical contact
South Side Flats,Public drunkenness
South Side Flats,Disorderly Conduct
East Allegheny,Obstructing passage
South Side Flats,Harassment
Carrick,Public drunkenness
Strip District,Harassment
South Side Flats,Criminal Mischief
Central Business District,Public drunkenness
East Allegheny,Obstructing passage
North Shore,Public drunkenness
South Side Flats,Indecent public act
Central Business District,Public drunkenness
South Side Flats,Public drunkenness
Northview Heights,Criminal Mischief
West Oakland,Public drunkenness
Central Business District,Public drunkenness
Middle Hill,Criminal Mischief (Prop Damage by Fire/Explosives/Dangerous Means)
Central Business District,Public drunkenness
South Side Flats,Public drunkenness
South Side Flats,Open container
Central North Side,Fighting (disorderly conduct)
Crawford-Roberts,Fighting (Disorderly Conduct)
East Allegheny,Actual Communication
Central Business District,Harassment
Carrick,Public drunkenness
Sheraden,Harassment
South Side Flats,Public drunkenness
Homewood North,Criminal Mischief
South Side Flats,Indecent public urination/defecation
South Side Flats,Disorderly conduct (unreasonable noise)
Central Business District,Retail Theft
Sheraden,Harassment
East Allegheny,Obstructing passage
East Allegheny,Obstructing passage
South Side Flats,Fighting disorderly conduct
North Shore,Public drunkenness
South Side Flats,Fighting (Disorderly Conduct)
Central Business District,Obstructing passages
Sheraden,Fighting in disorderly conduct
Shadyside,Public drunkenness
Lincoln-Lemington-Belmar,Discharging firearm/airgun
Sheraden,Harassment
Sheraden,Harassment
South Side Flats,Public drunkenness
Lincoln-Lemington-Belmar,Harassment
Sheraden,Harassment
South Side Flats,Public drunkenness
Central Business District,Fighting (disorderly conduct)
Lincoln-Lemington-Belmar,Harassment
Allentown,Harassment
Northview Heights,Disorderly Conduct
Hazelwood,Marijuana possession
Sheraden,Harassment
Central Business District,Theft of services
Bloomfield,Criminal Mischief
Mount Washington,Harassment by Contact
Point Breeze,Public drunkenness
Central Business District,Obscene Lang/Gest Disorderly Conduct
,Fighting in disorderly conduct
Central Oakland,Indecent public act
South Side Flats,Public drunkenness
Hazelwood,Marijuana possession
,Fighting disorderly conduct
Sheraden,Fighting disorderly conduct
Strip District,Harassment
Sheraden,Fighting (disorderly conduct)
Hazelwood,Marijuana possession
South Side Flats,Public drunkenness
South Side Flats,Public drunkenness
East Allegheny,Harassment
Homewood North,Marijuana possession
Crafton Heights,Rabies vaccination
South Side Flats,Fighting in disorderly conduct
South Side Flats,Obscene lang/gest disorderly conduct
South Side Flats,Public drunkenness
South Side Flats,Public drunkenness
Sheraden,Fighting (disorderly conduct)
Crafton Heights,Dog license requirement
Hazelwood,Public urination/defecation
South Side Slopes,Public urination/defecation
Carrick,Obstructing passage
Carrick,Public drunkenness
Carrick,Alcohol on streets/sidewalks
Duquesne Heights,Criminal Mischief
Carrick,Cruelty to animals
Crafton Heights,Dog license requirement
Brighton Heights,Obstructing passage
Shadyside,Trespass
East Hills,Marijuana possession
South Side Flats,Underage liquor
South Side Flats,Fighting disorderly conduct
South Side Flats,Disorderly Conduct
South Side Flats,Fighting disorderly conduct
South Side Flats,Fighting in disorderly conduct
North Shore,Harassment
Allentown,Marijuana possession
North Oakland,Refusing collection at night
South Side Flats,Fighting in disorderly conduct
Duquesne Heights,Criminal Trespass
Carrick,Rabies vaccination
Central Business District,Obscene lang/gest disorderly conduct
South Side Flats,Fighting (disorderly conduct)
Bon Air,Public urination/defecation
South Side Flats,Open Container
South Side Flats,Indecent public urination/defecation
South Side Flats,Public drunkenness
South Side Flats,Public drunkenness
South Side Flats,Public drunkenness
Central Business District,Alcohol on streets/sidewalks
Central Business District,Marijuana possession
Mount Washington,Public drunkenness
South Side Flats,Public drunkenness
South Side Flats,Public drunkenness
Central Business District,Public drunkenness
North Oakland,Refusing collection at night
South Side Flats,Fighting in disorderly conduct
Crafton Heights,Pet limits
South Side Flats,Public urination/defecation
Crafton Heights,Cruelty to animals
South Side Flats,Open Container
Point Breeze,Obscene lang/gest disorderly conduct
East Allegheny,Public drunkenness
West End,Obstructing passage
Central Oakland,Refusing collection at night
Shadyside,Disorderly Conduct
East Liberty,Retail Theft
Chateau,Criminal Mischief
East Allegheny,Public drunkenness
Strip District,Public drunkenness
South Side Flats,Public urination/defecation
South Side Flats,Public drunkenness
South Side Flats,Indecent public act
Crafton Heights,Pet limit
South Side Flats,Public drunkenness
South Side Flats,Fighting disorderly conduct
Central Business District,Public drunkenness
Mount Washington,Public drunkenness
South Side Flats,Public urination/defecation
South Side Flats,Alcohol consumption in public
Lower Lawrenceville,Harassment
Central Business District,Public drunkenness
Central Oakland,Refusing collection at night in residential zones
Shadyside,Trespass
East Allegheny,Obstructing passage
Carrick,Fighting disorderly conduct
South Side Flats,Unreasonable Noise Disorderly Conduct
East Allegheny,Obstructing passages
South Side Slopes,Public drunkenness
Allegheny Center,Open Container
East Allegheny,Obstructing passage
Central Business District,Marijuana possession
West Oakland,Refusing collection at night
Crafton Heights,Rabies vaccination
South Side Flats,Public drunkenness
South Side Flats,Fighting (disorderly conduct)
Allegheny Center,Obstructing passage
Perry North,Criminal Mischief
Central Business District,Panhandling near paystation/ATM
South Side Slopes,Alcohol consumption in public
South Side Flats,Public drunkenness
Central Business District,Public urination/defecation
South Oakland,Refusing collection at night
